codigo_ibge,uf,nome,url
1200013,AC,Acrelândia,https://acrelandia.ac.gov.br
1200054,AC,Assis Brasil,https://assisbrasil.ac.gov.br
1200104,AC,Brasiléia,https://brasileia.ac.gov.br
1200138,AC,Bujari,https://bujari.ac.gov.br
1200179,AC,Capixaba,http://www.capixaba.ac.gov.br
1200203,AC,Cruzeiro do Sul,https://cruzeirodosul.ac.gov.br
1200252,AC,Epitaciolândia,https://epitaciolandia.ac.gov.br
1200302,AC,Feijó,https://feijo.ac.gov.br
1200328,AC,Jordão,http://jordao.ac.gov.br
1200344,AC,Manoel Urbano,
1200351,AC,Marechal Thaumaturgo,https://marechalthaumaturgo.ac.gov.br
1200336,AC,Mâncio Lima,https://manciolima.ac.gov.br
1200385,AC,Plácido de Castro,https://placidodecastro.ac.gov.br
1200807,AC,Porto Acre,https://portoacre.ac.gov.br
1200393,AC,Porto Walter,https://portowalter.ac.gov.br
1200401,AC,Rio Branco,http://www.riobranco.ac.gov.br
1200427,AC,Rodrigues Alves,https://rodriguesalves.ac.gov.br
1200435,AC,Santa Rosa do Purus,http://santarosadopurus.ac.gov.br
1200500,AC,Sena Madureira,https://senamadureira.ac.gov.br
1200450,AC,Senador Guiomard,https://senadorguiomard.ac.gov.br
1200609,AC,Tarauacá,https://tarauaca.ac.gov.br
1200708,AC,Xapuri,https://xapuri.ac.gov.br
2700201,AL,Anadia,https://anadia.al.gov.br
2700300,AL,Arapiraca,http://arapiraca.al.gov.br
2700409,AL,Atalaia,https://atalaia.al.gov.br
2700508,AL,Barra de Santo Antônio,https://barradesantoantonio.al.gov.br
2700607,AL,Barra de São Miguel,https://barradesaomiguel.al.gov.br
2700706,AL,Batalha,http://www.batalha.al.gov.br
2700904,AL,Belo Monte,https://belomonte.al.gov.br
2700805,AL,Belém,https://belem.al.gov.br
2701001,AL,Boca da Mata,https://bocadamata.al.gov.br
2701100,AL,Branquinha,http://www.branquinha.al.gov.br
2701209,AL,Cacimbinhas,https://cacimbinhas.al.gov.br
2701308,AL,Cajueiro,https://cajueiro.al.gov.br
2701357,AL,Campestre,https://campestre.al.gov.br
2701407,AL,Campo Alegre,https://campoalegre.al.gov.br
2701506,AL,Campo Grande,https://campogrande.al.gov.br
2701605,AL,Canapi,https://canapi.al.gov.br
2701704,AL,Capela,http://capela.al.gov.br
2701803,AL,Carneiros,https://carneiros.al.gov.br
2701902,AL,Chã Preta,https://chapreta.al.gov.br
2702009,AL,Coité do Nóia,https://coitedonoia.al.gov.br
2702108,AL,Colônia Leopoldina,https://colonialeopoldina.al.gov.br
2702207,AL,Coqueiro Seco,http://www.coqueiroseco.al.gov.br
2702306,AL,Coruripe,http://coruripe.al.gov.br
2702355,AL,Craíbas,https://craibas.al.gov.br
2702405,AL,Delmiro Gouveia,https://delmirogouveia.al.gov.br
2702504,AL,Dois Riachos,http://www.doisriachos.al.gov.br
2702553,AL,Estrela de Alagoas,https://estreladealagoas.al.gov.br
2702603,AL,Feira Grande,https://feiragrande.al.gov.br
2702702,AL,Feliz Deserto,https://felizdeserto.al.gov.br
2702801,AL,Flexeiras,https://flexeiras.al.gov.br
2702900,AL,Girau do Ponciano,http://www.giraudoponciano.al.gov.br
2703007,AL,Ibateguara,https://ibateguara.al.gov.br
2703106,AL,Igaci,http://igaci.al.gov.br
2703205,AL,Igreja Nova,https://igrejanova.al.gov.br
2703304,AL,Inhapi,http://inhapi.al.gov.br
2703403,AL,Jacaré dos Homens,http://www.jacaredoshomens.al.gov.br
2703502,AL,Jacuípe,https://jacuipe.al.gov.br
2703601,AL,Japaratinga,http://www.japaratinga.al.gov.br
2703700,AL,Jaramataia,http://jaramataia.al.gov.br
2703759,AL,Jequiá da Praia,http://jequiadapraia.al.gov.br
2703809,AL,Joaquim Gomes,https://joaquimgomes.al.gov.br
2703908,AL,Jundiá,https://jundia.al.gov.br
2704005,AL,Junqueiro,https://junqueiro.al.gov.br
2704104,AL,Lagoa da Canoa,http://www.lagoadacanoa.al.gov.br
2704203,AL,Limoeiro de Anadia,https://limoeirodeanadia.al.gov.br
2704302,AL,Maceió,http://www.maceio.al.gov.br
2704401,AL,Major Isidoro,http://www.majorizidoro.al.gov.br
2704906,AL,Mar Vermelho,https://marvermelho.al.gov.br
2704500,AL,Maragogi,https://maragogi.al.gov.br
2704609,AL,Maravilha,https://maravilha.al.gov.br
2704708,AL,Marechal Deodoro,http://marechaldeodoro.al.gov.br
2704807,AL,Maribondo,https://maribondo.al.gov.br
2705002,AL,Mata Grande,https://matagrande.al.gov.br
2705101,AL,Matriz de Camaragibe,https://matrizdecamaragibe.al.gov.br
2705200,AL,Messias,https://messias.al.gov.br
2705309,AL,Minador do Negrão,https://minadordonegrao.al.gov.br
2705408,AL,Monteirópolis,https://monteiropolis.al.gov.br
2705507,AL,Murici,http://murici.al.gov.br
2705606,AL,Novo Lino,
2705903,AL,Olho d'Água Grande,https://olhodaguagrande.al.gov.br
2705705,AL,Olho d'Água das Flores,https://www.olhodaguadasflores.al.gov.br
2705804,AL,Olho d'Água do Casado,
2706000,AL,Olivença,https://olivenca.al.gov.br
2706109,AL,Ouro Branco,https://ourobranco.al.gov.br
2706208,AL,Palestina,http://www.palestina.al.gov.br
2706307,AL,Palmeira dos Índios,https://palmeiradosindios.al.gov.br
2706422,AL,Pariconha,http://www.pariconha.al.gov.br/site
2706448,AL,Paripueira,https://paripueira.al.gov.br
2706505,AL,Passo de Camaragibe,https://passodecamaragibe.al.gov.br
2706604,AL,Paulo Jacinto,https://paulojacinto.al.gov.br
2706703,AL,Penedo,https://penedo.al.gov.br
2706802,AL,Piaçabuçu,https://piacabucu.al.gov.br
2706901,AL,Pilar,http://www.pilar.al.gov.br
2707008,AL,Pindoba,https://pindoba.al.gov.br
2707107,AL,Piranhas,http://piranhas.al.gov.br
2707305,AL,Porto Calvo,http://www.portocalvo.al.gov.br
2707503,AL,Porto Real do Colégio,https://portorealdocolegio.al.gov.br
2707404,AL,Porto de Pedras,https://portodepedras.al.gov.br
2707206,AL,Poço das Trincheiras,http://www.pocodastrincheiras.al.gov.br
2706406,AL,Pão de Açúcar,https://paodeacucar.al.gov.br
2707602,AL,Quebrangulo,https://quebrangulo.al.gov.br
2707701,AL,Rio Largo,http://www.riolargo.al.gov.br
2707800,AL,Roteiro,https://www.roteiro.al.gov.br
